ID,Sequence,SAFRING_No,avibase_id,ADU_No,Odr,Family,Genus,Species,Common_family,Common_group,Common_species,Split status,UO comment,BL comment,,
653,873,170,avibase-63B6412E,166,Falconiformes,Accipitridae,Circus,pygargus,"Kites, Hawks and Eagles",Harrier,Montagu's,,,,,
1998,907,171,avibase-C505EA72,169,Falconiformes,Accipitridae,Polyboroides,typus,"Kites, Hawks and Eagles",Harrier-Hawk,African,,,,,
1748,902,172,avibase-1327AC55,170,Falconiformes,Accipitridae,Pandion,haliaetus,Ospreys,Osprey,Western,,,,,
453,15,173,avibase-ECD7C1D8,188,Galliformes,Phasianidae,Campocolinus,coqui,Pheasants and allies,Francolin,Coqui,,,,,
1718,11,174,avibase-8004C7E5,189,Galliformes,Phasianidae,Ortygornis,sephaena,Pheasants and allies,Francolin,Crested,,,,,
2580,10,175,avibase-66EC1A85,0,Galliformes,Phasianidae,Dendroperdix,rovuma,,Francolin,Kirk's,,,,,
2196,43,176,avibase-21616639,190,Galliformes,Phasianidae,Scleroptila,afra,,Francolin,Grey-winged,,,,,
2201,48,177,avibase-A15F6836,191,Galliformes,Phasianidae,Scleroptila,shelleyi,Pheasants and allies,Francolin,Shelley's,,,,,
2199,45,178,avibase-B49935ED,192,Galliformes,Phasianidae,Scleroptila,levaillantii,Pheasants and allies,Francolin,Red-winged,,,,,
2198,46,179,avibase-8E833C63,193,Galliformes,Phasianidae,Scleroptila,gutturalis,,Francolin,Orange River,,,,,
238,1109,180,avibase-E94A7272,41,Ciconiiformes,Procellariidae,Ardenna,pacifica,,Shearwater,Wedge-tailed,,,,,
2057,23,181,avibase-6405CD29,195,Galliformes,Phasianidae,Pternistis,capensis,Pheasants and allies,Spurfowl,Cape,,,,,
2052,18,182,avibase-9E356E43,194,Galliformes,Phasianidae,Pternistis,adspersus,Pheasants and allies,Spurfowl,Red-billed,,,,,
2068,35,183,avibase-A7002FF6,196,Galliformes,Phasianidae,Pternistis,natalensis,Pheasants and allies,Spurfowl,Natal,,,,,
2062,28,184,avibase-56FA0FE6,197,Galliformes,Phasianidae,Pternistis,hartlaubi,Pheasants and allies,Spurfowl,Hartlaub's,,,,,
2073,40,185,avibase-721FFBD4,199,Galliformes,Phasianidae,Pternistis,swainsonii,Pheasants and allies,Spurfowl,Swainson's,,,,,
2093,1096,187,avibase-B829AC03,0,Ciconiiformes,Procellariidae,Pterodroma,inexpectata,"Petrels, Shearwaters",Petrel,Mottled,,,,,
2053,19,188,avibase-5FA94F66,198,Galliformes,Phasianidae,Pternistis,afer,Pheasants and allies,Spurfowl,Red-necked,,,,,
789,8,189,avibase-CAFE345D,200,Galliformes,Phasianidae,Coturnix,coturnix,Pheasants and allies,Quail,Common,,,,,
790,9,190,avibase-0CA903BB,201,Galliformes,Phasianidae,Coturnix,delegorguei,Pheasants and allies,Quail,Harlequin,,,,,
1050,7,191,avibase-CAA45AC6,202,Galliformes,Phasianidae,Excalfactoria,adansonii,,Quail,Blue,,,,,
1662,56,192,avibase-1044B438,203,Galliformes,Numididae,Numida,meleagris,Guineafowl,Guineafowl,Helmeted,,,,,
1155,55,193,avibase-35D60F12,204,Galliformes,Numididae,Guttera,pucherani,Guineafowl,Guineafowl,Crested,,,,,
2481,123,196,avibase-0DA8BB90,205,Turniciformes,Turnicidae,Turnix,sylvaticus,Buttonquail,Buttonquail,Common,,,,,
2145,619,197,avibase-5B443EDE,210,Gruiformes,Rallidae,Rallus,caerulescens,"Rails, Crakes and Coots",Rail,African,,,,,
801,604,198,avibase-7E257242,211,Gruiformes,Rallidae,Crex,crex,"Rails, Crakes and Coots",Crake,Corn,,,,,
